"","season","sex","method","mean","n","se"
"1","all","f","kde","0.384662130108455","10","0.0577042774031868"
"2","all","f","mcp","0.258927813903809","10","0.0568075118501847"
"3","all","m","kde","0.375364666756165","6","0.0653831012188915"
"4","all","m","mcp","0.217351228108724","6","0.0703281878031059"
"5","summer","f","kde","0.359491934061873","10","0.0530518161066534"
"6","summer","f","mcp","0.228704660375977","10","0.055681237156666"
"7","summer","m","kde","0.313200498665702","6","0.0573772692549445"
"8","summer","m","mcp","0.146504957173665","6","0.0540351373079029"
"9","winter","f","kde","0.225750797292901","6","0.027170805929144"
"10","winter","f","mcp","0.0626667085367839","6","0.0228203543660953"
"11","winter","m","kde","0.212148153177602","5","0.0229600662072454"
"12","winter","m","mcp","0.0702697976074219","5","0.0267807158123801"
"13","summer","both","kde","0.342132645788309","16","0.0387354790981031"
"14","summer","both","mcp","0.19787977167511","16","0.040412862244886"
"15","winter","both","kde","0.219567777240492","11","0.0173717393743616"
"16","winter","both","mcp","0.0661226581143466","11","0.016548783900683"
