,X15.01_all,X15.01_sum,X15.02_all,X15.02_sum,X15.03_all,X15.03_sum,X15.04_all,X15.04_sum,X15.05_all,X15.05_sum,X15.06_all,X15.06_sum,X15.07_all,X15.07_sum,X15.08_all,X15.08_sum,X15.09_all,X15.09_sum,X15.10_all,X15.10_sum,X15.11_all,X15.11_sum,X15.12_all,X15.12_sum,X15.13_all,X15.13_sum,X15.14_all,X15.14_sum
50,0.169087324,0.143036643,0.076412813,0.056849584,0.133566013,0.100830197,0.121803098,0.121803098,0.059280166,0.059280166,0.037260798,0.033002421,0.093483807,0.091835234,0.060001366,0.057079221,0.068196694,0.068681046,0.096288796,0.104061857,0.068659704,0.059142517,0.117517988,0.104449678,0.034297473,0.023676949,0.104206448,0.118469342
90,0.60933416,0.512491478,0.382742001,0.329766324,0.417017376,0.327163876,0.421328428,0.421328428,0.17481301,0.17481301,0.22162916,0.206240934,0.309059018,0.317689784,0.208641113,0.191887485,0.205171304,0.204880693,0.354354429,0.364653735,0.260265921,0.212777102,0.40724726,0.423510046,0.170610443,0.112538585,0.48484136,0.419057401
95,0.758181364,0.641292246,0.499540294,0.436492459,0.502013929,0.395258258,0.537810501,0.537810501,0.212412457,0.212412457,0.312022887,0.292279503,0.377426325,0.386929865,0.267668431,0.245167919,0.259031193,0.25777188,0.455598551,0.465800694,0.323972803,0.271045591,0.508405659,0.525249259,0.226733582,0.159210431,0.634456204,0.535877293
99,1.035345122,0.889209514,0.728391343,0.655852437,0.660738922,0.529698521,0.793606681,0.793606681,0.289271585,0.289271585,0.51894129,0.490777934,0.511154717,0.521240107,0.394976523,0.361079648,0.376825483,0.373338152,0.671786816,0.681211653,0.439150184,0.379619211,0.699202985,0.714884957,0.330502926,0.249338735,0.940477747,0.781645386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50,90,95,99,,,,,,,,,,,,,,,,,,,,,,
,,mean,0.08508073,0.315923352,0.401352591,0.575040959,,,,,,,,,,,,,,,,,,,,,,
,,n,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,
,,sd,0.036353837,0.123737127,0.153575651,0.214188313,,,,,,,,,,,,,,,,,,,,,,
,,se,0.009715972,0.033070138,0.041044819,0.057244235,,,,,,,,,,,,,,,,,,,,,,
