,id,intercept,beachgrass_dune,brackish_marsh,coastal_scrub,conifer_forest,fresh_marsh,fruit,meadow,pasture,shrub_swale,wooded_swale
1,15.01,0.01650512,0.045178782,0.183962748,0.053239335,0.152594446,0.75342865,0.510041973,0.250865331,0.082121344,0.309361259,0.20535044
12,15.02,0.015772212,0.036457962,0.020860925,0.052766801,0.076992781,NA,NA,0.124654559,0.08515099,0.458482877,0.165761342
21,15.03,0.052607725,NA,NA,0.081524161,0.011734331,0.104340709,NA,0.12912283,NA,0.166023681,0.069610478
28,15.04,0.070796895,NA,NA,0.011184772,0.002844276,0.011145584,NA,0.011210635,NA,0.01513984,0.008329601
35,15.05,0.074418389,NA,-0.002484835,0.013155715,0.018458052,0.019250212,0.018323364,0.018339455,-0.010355856,0.019835816,0.045727772
45,15.06,0.088280226,-0.002442753,NA,-0.00039407,0.010927431,0.055012436,NA,0.050455251,NA,0.040137323,NA
52,15.07,0.13045495,NA,NA,NA,0.026650938,0.007992046,NA,-0.05456593,NA,-0.043119095,0.104896916
58,15.08,0.043757448,NA,-0.003052986,-0.005805874,-0.004027133,-0.005355848,NA,-0.005870947,-0.008282125,-0.000669951,0.000321198
67,15.09,0.168239846,NA,NA,0.078916733,0.06519675,0.111807006,NA,0.061227191,-0.020295128,0.012436685,0.073218706
75,15.1,0.04167154,NA,NA,0.100480108,0.116154019,0.226765647,NA,0.088300983,NA,0.170532148,0.217034639
82,15.11,0.014970598,NA,NA,NA,8.09E-05,-6.93E-05,NA,1.87E-05,NA,-3.55E-05,4.89E-05
88,15.12,0.029443765,0.036967954,0.015854301,0.063694381,0.075218582,0.381347631,0.134638025,0.118287917,-0.005004991,0.295205728,NA
98,15.13,0.004171173,-0.000149199,NA,-0.000126655,5.93E-05,-0.000100628,NA,-4.19E-05,NA,-2.26E-05,0.00012201
106,15.14,0.0510476,0.018958527,0.252993211,0.042841266,0.090345271,-0.021867455,0.293059155,0.094702223,0.11629534,0.144263227,0.364280005
,,,,,,,,,,,,
,mean,0.057295535,0.022495212,0.078022227,0.040956389,0.045944996,0.126438205,0.239015629,0.063336171,0.034232796,0.11339796,0.1045585
,n,14,6,6,12,14,13,4,14,7,14,12
,stdev,0.046708783,0.020328023,0.111377809,0.036536835,0.050042001,0.220634891,0.21289727,0.078206002,0.057632169,0.150571988,0.113470186
,se,0.012483447,0.008298881,0.0454698,0.010547276,0.013374287,0.061193109,0.106448635,0.020901433,0.021782912,0.040242057,0.032756021
