"","id","intercept","beachgrass_dune","brackish_marsh","coastal_scrub","conifer_forest","fresh_marsh","fruit","meadow","pasture","shrub_swale","wooded_swale"
"1","15.01",0.0165051204027862,0.0451787817941643,0.183962747518263,0.0532393345659374,0.152594446050322,0.753428650274142,0.510041973216719,0.250865330766426,0.082121344237289,0.309361259413126,0.205350439811379
"12","15.02",0.0157722119946768,0.0364579618295455,0.0208609254177431,0.0527668012975802,0.0769927807455112,NA,NA,0.124654558968449,0.0851509899615432,0.45848287662179,0.165761341952573
"21","15.03",0.0526077248279392,NA,NA,0.0815241609598829,0.0117343311740881,0.104340708768001,NA,0.129122829695197,NA,0.166023681259253,0.0696104779245473
"28","15.04",0.0707968949316706,NA,NA,0.011184772209394,0.00284427559044317,0.0111455840029473,NA,0.0112106353952564,NA,0.0151398403406924,0.00832960099797775
"35","15.05",0.0744183891029476,NA,-0.00248483503893016,0.0131557149939633,0.0184580524350793,0.0192502122918624,0.0183233635393959,0.0183394547500879,-0.0103558563510506,0.0198358155502654,0.0457277715917092
"45","15.06",0.0882802258650285,-0.00244275276296962,NA,-0.000394070462658876,0.0109274307179417,0.0550124359821947,NA,0.0504552507558048,NA,0.0401373234996645,NA
"52","15.07",0.130454950032801,NA,NA,NA,0.0266509375078572,0.00799204581102892,NA,-0.054565929938519,NA,-0.0431190951096223,0.104896915807859
"58","15.08",0.0437574477185281,NA,-0.00305298606657849,-0.00580587412262568,-0.00402713252127465,-0.00535584824416476,NA,-0.00587094655056116,-0.00828212482441103,-0.000669950740674993,0.000321198441173441
"67","15.09",0.168239846149167,NA,NA,0.0789167329467433,0.0651967501339417,0.111807005540037,NA,0.0612271909086173,-0.0202951276250196,0.0124366848860103,0.0732187064013356
"75","15.1",0.0416715403002414,NA,NA,0.100480107946024,0.116154019408568,0.226765646502969,NA,0.0883009833789161,NA,0.170532147547712,0.217034638656658
"82","15.11",0.014970598268025,NA,NA,NA,8.08797259581954e-05,-6.93232534502838e-05,NA,1.87464111631488e-05,NA,-3.55419992346458e-05,4.88957367623092e-05
"88","15.12",0.0294437645462873,0.0369679539252644,0.0158543008389428,0.063694380933204,0.0752185818030508,0.381347631277071,0.134638024603226,0.118287916702609,-0.00500499092246517,0.295205728448802,NA
"98","15.13",0.00417117298741455,-0.000149199458701683,NA,-0.000126655081732988,5.93195171803241e-05,-0.000100627760433553,NA,-4.18533175053732e-05,NA,-2.25552288087977e-05,0.000122009923875913
"106","15.14",0.0510476001153556,0.0189585272992191,0.252993210731944,0.0428412655628082,0.0903452713712326,-0.0218674546547303,0.293059154631898,0.0947022230948267,0.116295340107931,0.144263226789951,0.364280005378554
