"","veg","log_ud_wt","log_avail","sel"
"1","beach",-4.86974409030742,-2.88109951517626,-1.98864457513116
"2","beachgrass dune",-3.35359579644327,-1.80874493445105,-1.54485086199222
"3","coastal scrub",-2.22223900307599,-2.08550445755819,-0.136734545517794
"4","conifer forest",-1.60811044829133,-1.57390468741676,-0.0342057608745698
"5","fruit tree",-7.4714717828667,-9.74169833945063,2.27022655658393
"6","marsh",-2.07423057717758,-2.33934124579769,0.265110668620109
"7","meadow",-1.76870783042327,-2.54654126204364,0.777833431620368
"8","pasture",-2.49100547125864,-2.15977769110853,-0.331227780150118
"9","swale",-1.31255206257941,-1.84240730853643,0.529855245957023
