"","veg","log_ud_wt","log_avail","sel","veg.1","log_ud_wt.1","log_avail.1","sel.1","veg.2","log_ud_wt.2","log_avail.2","sel.2"
"1","beach",-4.51959728897914,-2.88109951517626,-1.63849777380288,"beach",-4.86974409030742,-2.88109951517626,-1.98864457513116,"beach",-4.22988692991482,-2.88109951517626,-1.34878741473857
"2","beachgrass dune",-2.98467385909778,-1.80874493445105,-1.17592892464673,"beachgrass dune",-3.35359579644327,-1.80874493445105,-1.54485086199222,"beachgrass dune",-2.01672812614422,-1.80874493445105,-0.207983191693173
"3","coastal scrub",-1.973941170616,-2.08550445755819,0.111563286942189,"coastal scrub",-2.22223900307599,-2.08550445755819,-0.136734545517794,"coastal scrub",-1.27905419548351,-2.08550445755819,0.806450262074685
"4","conifer forest",-1.5835861057273,-1.57390468741676,-0.00968141831053848,"conifer forest",-1.60811044829133,-1.57390468741676,-0.0342057608745698,"conifer forest",-1.52908507737702,-1.57390468741676,0.0448196100397367
"5","fruit tree",-7.74461589917556,-9.74169833945063,1.99708244027507,"fruit tree",-7.4714717828667,-9.74169833945063,2.27022655658393,"fruit tree",-8.68316080380377,-9.74169833945063,1.05853753564686
"6","marsh",-2.18514461862575,-2.33934124579769,0.154196627171947,"marsh",-2.07423057717758,-2.33934124579769,0.265110668620109,"marsh",-2.96579198010197,-2.33934124579769,-0.62645073430428
"7","meadow",-1.76265711480055,-2.54654126204364,0.783884147243086,"meadow",-1.76870783042327,-2.54654126204364,0.777833431620368,"meadow",-1.88816282478125,-2.54654126204364,0.658378437262387
"8","pasture",-2.58637828517714,-2.15977769110853,-0.426600594068617,"pasture",-2.49100547125864,-2.15977769110853,-0.331227780150118,"pasture",-6.30152673691585,-2.15977769110853,-4.14174904580732
"9","swale",-1.44974796304261,-1.84240730853643,0.392659345493823,"swale",-1.31255206257941,-1.84240730853643,0.529855245957023,"swale",-1.88092311221108,-1.84240730853643,-0.03851580367465
